OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength,population
4,15057,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.36161,-80.24237, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,6738
4,15206,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.46771,-79.91111, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,22090
4,15214,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.48322,-80.01592, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,12010
4,15229,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.51733,-80.03548, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,13410
4,15228,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.36881,-80.04389, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,17180
4,15108,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.50904,-80.19464, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,37850
4,15101,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.57639,-79.95065, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,24110
4,15146,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.42356,-79.76077, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,25680
4,15037,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.25927,-79.85312, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,9730
4,15024,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.58028,-79.84528, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,7970
4,15108,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.50904,-80.19464, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,37850
4,15106,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.40674,-80.1113, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,16810
4,15236,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.34978,-79.97652, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,29410
4,15237,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.54613,-80.04893, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,42230
4,15007,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.65668829,-79.93212966, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.19,20129.30812,360
5,15014,BRACKENRIDGE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.60796437,-79.74083155, ,1493,59,1396,38,76,1.9.3,5,{D7938129-8427-49A4-8C6C-3A19848432D4},15153375.58,16855.54643,2650
6,15015,BRADFORD WOODS,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6364525,-80.08523523, ,525,0,430,95,56,1.9.3,10,{BABB5D5E-1FF4-4E03-BBAB-B84CBB5BFB31},26137182.49,33453.2622,1290
8,15018,BUENA VISTA,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.28940773,-79.79123687, ,415,0,286,129,22,1.9.3,11,{4E2C2FAA-7976-4BEF-8119-BBB65C2F7014},60912852.86,76474.95128,750
12,15025,CLAIRTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.28416284,-79.91537341, ,7218,277,6768,173,494,1.9.3,0,{86730D4E-BBA9-4B57-8336-A444594F7E27},455845931,178965.4012,15150
14,15034,DRAVOSBURG,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.34944,-79.88822, ,979,0,950,29,104,1.9.3,6,{C7A863B3-22E1-42B1-A368-872E83B4A9CC},29885395.68,27557.18718,1350
15,15030,CREIGHTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.58806677,-79.77999562, ,532,1,491,40,64,1.9.3,0,{5E20E33C-05C8-49F4-A63F-B29340E9BC6E},46031782.03,61125.20597,850
19,15035,EAST MC KEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.39846801,-79.81833267, ,1141,51,1062,28,70,1.9.3,10,{5727D3B9-700D-43F7-B621-1FFACDA2A5B9},11959237.57,18567.54652,1770
23,15046,CRESCENT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.55563839,-80.22832411, ,1116,0,1060,56,63,1.9.3,0,{14AA359E-C043-4826-B9E7-450800598D51},63556112.97,37940.4317,2360
25,15049,HARWICK,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.55594268,-79.80560481, ,546,0,463,83,23,1.9.3,15,{CEC8C572-1900-45CE-88AF-EC3E199852EF},18921596.35,26044.3527,860
30,15064,MORGAN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.3570462,-80.14755828, ,197,0,160,37,54,1.9.3,12,{1FA645FE-C42C-4C6F-A8F7-575717E417F3},16646642.18,35948.48381,310
31,15065,NATRONA HEIGHTS,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.64174598,-79.72652033, ,5339,309,4928,102,399,1.9.3,10,{99206AD3-D38B-4853-BBEA-632419299957},351431789,107847.7206,9890
38,15082,STURGEON,PO BOX,PA,42,42003,ALLEGHENY,150,40.38088936,-80.21310333, ,175,0,1,174,15,1.9.3,0,{68837542-C476-4E60-86D8-F67AD536E4E0},5299054.072,17954.82955,386
49,15110,DUQUESNE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.37243097,-79.85005849, ,2833,318,2383,132,169,1.9.3,6,{0572D3C0-9701-472C-B109-0FB3F73FC8EA},56208489.91,33842.84553,3950
